Iterate [1]: time: 3.8138, d_loss: 0.00000099, g_loss: 82.91764069
Iterate [2]: time: 3.9986, d_loss: 0.55732012, g_loss: 72.96481323
Iterate [3]: time: 4.1829, d_loss: 0.02335639, g_loss: 60.16403198
Iterate [4]: time: 4.3667, d_loss: 0.01890001, g_loss: 52.90809631
Iterate [5]: time: 4.5507, d_loss: 0.00377525, g_loss: 42.60131073
Iterate [6]: time: 4.7348, d_loss: 0.01328147, g_loss: 31.90087700
Iterate [7]: time: 4.9189, d_loss: 0.04728820, g_loss: 35.18077469
Iterate [8]: time: 5.1028, d_loss: 0.11308835, g_loss: 50.80314636
Iterate [9]: time: 5.2873, d_loss: 0.04924448, g_loss: 67.16290283
Iterate [10]: time: 5.4713, d_loss: 0.15354756, g_loss: 33.23020935
Iterate [11]: time: 5.6554, d_loss: 0.08566208, g_loss: 31.13067627
Iterate [12]: time: 5.8390, d_loss: 1.26599145, g_loss: 32.45712280
Iterate [13]: time: 6.0233, d_loss: 2.02547836, g_loss: 29.19088936
Iterate [14]: time: 6.2071, d_loss: 0.00902287, g_loss: 36.86344147
Iterate [15]: time: 6.3912, d_loss: 4.90615225, g_loss: 32.90858841
Iterate [16]: time: 6.5756, d_loss: 2.58931351, g_loss: 35.60591125
Iterate [17]: time: 6.7596, d_loss: 0.04628951, g_loss: 33.64840698
Iterate [18]: time: 6.9440, d_loss: 4.15371227, g_loss: 30.40973663
Iterate [19]: time: 7.1281, d_loss: 0.54686141, g_loss: 30.19677162
Iterate [20]: time: 7.3128, d_loss: 15.68347931, g_loss: 31.94073486
Iterate [21]: time: 7.4975, d_loss: 0.74599093, g_loss: 31.93087578
Iterate [22]: time: 7.6812, d_loss: 0.37442538, g_loss: 33.51934433
Iterate [23]: time: 7.8653, d_loss: 3.72203398, g_loss: 43.81131744
Iterate [24]: time: 8.0495, d_loss: 0.01593822, g_loss: 33.35621643
Iterate [25]: time: 8.2337, d_loss: 3.75136447, g_loss: 22.09551620
Iterate [26]: time: 8.4177, d_loss: 0.00780190, g_loss: 29.88943481
Iterate [27]: time: 8.6018, d_loss: 0.19440843, g_loss: 30.25963211
Iterate [28]: time: 8.7858, d_loss: 5.22629309, g_loss: 53.74308395
Iterate [29]: time: 8.9695, d_loss: 0.18473989, g_loss: 34.09263611
Iterate [30]: time: 9.1538, d_loss: 0.85363328, g_loss: 24.66104698
Iterate [31]: time: 9.3378, d_loss: 14.05717182, g_loss: 31.13030243
Iterate [32]: time: 9.5223, d_loss: 16.38874626, g_loss: 37.06404877
Iterate [33]: time: 9.7063, d_loss: 2.45681834, g_loss: 27.08494186
Iterate [34]: time: 9.8904, d_loss: 9.82493591, g_loss: 34.60217667
Iterate [35]: time: 10.0744, d_loss: 0.19343169, g_loss: 20.49716949
Iterate [36]: time: 10.2583, d_loss: 4.41938066, g_loss: 28.46896553
Iterate [37]: time: 10.4422, d_loss: 1.91730487, g_loss: 21.86256790
Iterate [38]: time: 10.6260, d_loss: 0.08215776, g_loss: 24.14874077
Iterate [39]: time: 10.8096, d_loss: 0.00639240, g_loss: 31.33556366
Iterate [40]: time: 10.9939, d_loss: 0.03085569, g_loss: 25.56330872
Iterate [41]: time: 11.1777, d_loss: 0.00577736, g_loss: 27.27624893
Iterate [42]: time: 11.3616, d_loss: 0.20569062, g_loss: 34.95402527
Iterate [43]: time: 11.5464, d_loss: 4.73651648, g_loss: 39.26517868
Iterate [44]: time: 11.7305, d_loss: 5.35419512, g_loss: 37.77677917
Iterate [45]: time: 11.9153, d_loss: 10.30756569, g_loss: 33.64986038
Iterate [46]: time: 12.0993, d_loss: 0.02472728, g_loss: 28.98310089
Iterate [47]: time: 12.2834, d_loss: 0.07513679, g_loss: 24.11235428
Iterate [48]: time: 12.4668, d_loss: 0.37585863, g_loss: 25.39727211
Iterate [49]: time: 12.6509, d_loss: 5.76047373, g_loss: 27.51238251
Iterate [50]: time: 12.8350, d_loss: 0.80416930, g_loss: 29.07149124
Iterate [51]: time: 13.0193, d_loss: 3.80590105, g_loss: 20.56711960
Iterate [52]: time: 13.2031, d_loss: 1.60047650, g_loss: 20.56871033
Iterate [53]: time: 13.3876, d_loss: 1.01466095, g_loss: 23.63656616
Iterate [54]: time: 13.5724, d_loss: 0.03697777, g_loss: 29.03337097
Iterate [55]: time: 13.7571, d_loss: 0.72011960, g_loss: 22.03706169
Iterate [56]: time: 13.9411, d_loss: 17.33031464, g_loss: 38.05050659
Iterate [57]: time: 14.1249, d_loss: 0.03694189, g_loss: 19.57213211
Iterate [58]: time: 14.3089, d_loss: 12.77701473, g_loss: 32.86911011
Iterate [59]: time: 14.4926, d_loss: 0.28366429, g_loss: 25.11925316
Iterate [60]: time: 14.6769, d_loss: 6.88849545, g_loss: 20.89356613
Iterate [61]: time: 14.8616, d_loss: 0.79359782, g_loss: 25.78285217
Iterate [62]: time: 15.0453, d_loss: 4.43397522, g_loss: 16.21859550
Iterate [63]: time: 15.2291, d_loss: 0.19401971, g_loss: 20.53395844
Iterate [64]: time: 15.4130, d_loss: 0.98495096, g_loss: 25.25202560
Iterate [65]: time: 15.5972, d_loss: 6.68075132, g_loss: 27.06362152
Iterate [66]: time: 15.7817, d_loss: 4.68594265, g_loss: 25.21719742
Iterate [67]: time: 15.9657, d_loss: 2.90328717, g_loss: 20.79599953
Iterate [68]: time: 16.1497, d_loss: 5.91298962, g_loss: 19.79182053
Iterate [69]: time: 16.3341, d_loss: 1.22661424, g_loss: 20.45878601
Iterate [70]: time: 16.5185, d_loss: 2.98955870, g_loss: 14.22303581
Iterate [71]: time: 16.7027, d_loss: 2.10698462, g_loss: 16.13879776
Iterate [72]: time: 16.8865, d_loss: 3.75607967, g_loss: 16.31249046
Iterate [73]: time: 17.0701, d_loss: 3.06024790, g_loss: 12.65264034
Iterate [74]: time: 17.2540, d_loss: 2.23391271, g_loss: 11.14424801
Iterate [75]: time: 17.4382, d_loss: 3.42195034, g_loss: 14.86714745
Iterate [76]: time: 17.6221, d_loss: 3.17563391, g_loss: 19.35551071
Iterate [77]: time: 17.8069, d_loss: 2.02683401, g_loss: 12.24233913
Iterate [78]: time: 17.9911, d_loss: 1.59185886, g_loss: 16.30844879
Iterate [79]: time: 18.1749, d_loss: 1.84031832, g_loss: 10.64844704
Iterate [80]: time: 18.3589, d_loss: 0.83116901, g_loss: 12.92244339
Iterate [81]: time: 18.5426, d_loss: 0.63329506, g_loss: 12.58654690
Iterate [82]: time: 18.7267, d_loss: 1.06460595, g_loss: 11.11656761
Iterate [83]: time: 18.9107, d_loss: 0.58479857, g_loss: 12.04638481
Iterate [84]: time: 19.0948, d_loss: 1.33628106, g_loss: 31.71451569
Iterate [85]: time: 19.2783, d_loss: 0.79379058, g_loss: 10.92448997
Iterate [86]: time: 19.4624, d_loss: 0.74183393, g_loss: 9.55129719
Iterate [87]: time: 19.6460, d_loss: 2.25251055, g_loss: 7.95710754
Iterate [88]: time: 19.8301, d_loss: 0.91120028, g_loss: 12.45016479
Iterate [89]: time: 20.0150, d_loss: 2.39239478, g_loss: 19.26173401
Iterate [90]: time: 20.1993, d_loss: 1.13440585, g_loss: 9.03884697
Iterate [91]: time: 20.3830, d_loss: 1.10262239, g_loss: 13.15760612
Iterate [92]: time: 20.5669, d_loss: 3.14634705, g_loss: 7.84777832
Iterate [93]: time: 20.7503, d_loss: 1.86389732, g_loss: 10.91403675
Iterate [94]: time: 20.9342, d_loss: 2.21262527, g_loss: 9.08774567
Iterate [95]: time: 21.1178, d_loss: 4.66369390, g_loss: 8.70989799
Iterate [96]: time: 21.3017, d_loss: 3.22657251, g_loss: 10.66652775
Iterate [97]: time: 21.4859, d_loss: 2.04101157, g_loss: 8.07599926
Iterate [98]: time: 21.6702, d_loss: 3.57788777, g_loss: 19.80788612
Iterate [99]: time: 21.8542, d_loss: 2.00862026, g_loss: 17.97444153
Iterate [100]: time: 22.0397, d_loss: 1.96094012, g_loss: 10.85712624
Iterate [101]: time: 22.2233, d_loss: 2.37880778, g_loss: 9.19495678
Iterate [102]: time: 22.4072, d_loss: 2.32039690, g_loss: 10.62799072
Iterate [103]: time: 22.5917, d_loss: 1.70994782, g_loss: 8.63840294
Iterate [104]: time: 22.7758, d_loss: 1.47849369, g_loss: 6.66971493
