./figures/train
Iterate [1]: time: 3.8012, d_loss: 0.00000605, g_loss: 77.31180573, flux: 0.00045226
Iterate [2]: time: 3.9824, d_loss: 0.00017149, g_loss: 56.86442184, flux: 0.00067639
Iterate [3]: time: 4.1635, d_loss: 0.00128566, g_loss: 59.49293137, flux: 0.00051242
Iterate [4]: time: 4.3441, d_loss: 0.00853717, g_loss: 64.01649475, flux: 0.00090405
Iterate [5]: time: 4.5255, d_loss: 0.14875291, g_loss: 56.80987930, flux: 0.00062381
Iterate [6]: time: 4.7063, d_loss: 0.01094569, g_loss: 29.71565056, flux: 0.00099983
Iterate [7]: time: 4.8867, d_loss: 0.62813687, g_loss: 38.32575226, flux: 0.00043812
Iterate [8]: time: 5.0674, d_loss: 0.00094027, g_loss: 49.82975769, flux: 0.00038384
Iterate [9]: time: 5.2487, d_loss: 0.00043675, g_loss: 41.28247070, flux: 0.00063388
Iterate [10]: time: 5.4292, d_loss: 0.16915266, g_loss: 48.16388702, flux: 0.00142714
Iterate [11]: time: 5.6093, d_loss: 0.05285495, g_loss: 43.92617035, flux: 0.00115266
Iterate [12]: time: 5.7895, d_loss: 0.01008557, g_loss: 38.08912659, flux: 0.00042925
Iterate [13]: time: 5.9708, d_loss: 0.07033896, g_loss: 35.60778809, flux: 0.00030677
Iterate [14]: time: 6.1507, d_loss: 0.03265474, g_loss: 31.30990601, flux: 0.00129034
Iterate [15]: time: 6.3314, d_loss: 0.01020845, g_loss: 44.21675873, flux: 0.00089121
Iterate [16]: time: 6.5122, d_loss: 0.02583710, g_loss: 38.80899429, flux: 0.00133889
Iterate [17]: time: 6.6927, d_loss: 0.01582994, g_loss: 32.61843491, flux: 0.00164852
Iterate [18]: time: 6.8730, d_loss: 0.00545836, g_loss: 29.69473648, flux: 0.00137619
Iterate [19]: time: 7.0529, d_loss: 0.00444321, g_loss: 36.47525787, flux: 0.00088237
Iterate [20]: time: 7.2330, d_loss: 0.00080927, g_loss: 32.32360077, flux: 0.00088168
Iterate [21]: time: 7.4136, d_loss: 0.00007390, g_loss: 46.53879166, flux: 0.00116076
Iterate [22]: time: 7.5946, d_loss: 0.00005751, g_loss: 39.35067749, flux: 0.00049417
Iterate [23]: time: 7.7749, d_loss: 0.00287652, g_loss: 27.16364288, flux: 0.00073450
Iterate [24]: time: 7.9552, d_loss: 0.00997088, g_loss: 28.10471535, flux: 0.00033631
Iterate [25]: time: 8.1353, d_loss: 0.01398143, g_loss: 28.58254242, flux: 0.00031835
Iterate [26]: time: 8.3153, d_loss: 0.02053838, g_loss: 26.62005615, flux: 0.00038055
Iterate [27]: time: 8.4957, d_loss: 0.01231644, g_loss: 30.31182480, flux: 0.00007007
Iterate [28]: time: 8.6763, d_loss: 0.00093415, g_loss: 32.72566223, flux: 0.00010737
Iterate [29]: time: 8.8563, d_loss: 0.02043336, g_loss: 32.25804901, flux: 0.00084841
Iterate [30]: time: 9.0375, d_loss: 0.00971087, g_loss: 44.08741760, flux: 0.00005001
Iterate [31]: time: 9.2195, d_loss: 0.37199977, g_loss: 25.53483582, flux: 0.00036142
Iterate [32]: time: 9.4005, d_loss: 0.00006083, g_loss: 29.95965576, flux: 0.00038873
Iterate [33]: time: 9.5823, d_loss: 0.02504500, g_loss: 28.89066124, flux: 0.00072007
Iterate [34]: time: 9.7636, d_loss: 0.00197547, g_loss: 30.64670563, flux: 0.00046943
Iterate [35]: time: 9.9442, d_loss: 0.01122689, g_loss: 22.89706802, flux: 0.00039697
Iterate [36]: time: 10.1247, d_loss: 0.29687724, g_loss: 44.87997437, flux: 0.00090197
Iterate [37]: time: 10.3055, d_loss: 0.40703386, g_loss: 38.54849243, flux: 0.00118892
Iterate [38]: time: 10.4859, d_loss: 0.61115587, g_loss: 33.13285828, flux: 0.00100919
Iterate [39]: time: 10.6674, d_loss: 0.00028988, g_loss: 18.03610802, flux: 0.00029660
Iterate [40]: time: 10.8484, d_loss: 0.60796010, g_loss: 15.57898521, flux: 0.00078609
Iterate [41]: time: 11.0292, d_loss: 0.00101447, g_loss: 21.97609329, flux: 0.00022555
Iterate [42]: time: 11.2101, d_loss: 0.03966062, g_loss: 21.12606049, flux: 0.00000894
Iterate [43]: time: 11.3907, d_loss: 0.04116315, g_loss: 15.34745026, flux: 0.00024661
Iterate [44]: time: 11.5710, d_loss: 0.01380030, g_loss: 21.06324005, flux: 0.00012182
Iterate [45]: time: 11.7510, d_loss: 0.02851575, g_loss: 21.62136841, flux: 0.00006436
Iterate [46]: time: 11.9316, d_loss: 5.54450035, g_loss: 18.96284103, flux: 0.00030811
Iterate [47]: time: 12.1117, d_loss: 0.27608591, g_loss: 7.73532486, flux: 0.00025008
Iterate [48]: time: 12.2916, d_loss: 2.22890139, g_loss: 17.25039291, flux: 0.00015030
Iterate [49]: time: 12.4724, d_loss: 0.05208981, g_loss: 20.23567009, flux: 0.00078594
Iterate [50]: time: 12.6529, d_loss: 1.75748539, g_loss: 18.82008171, flux: 0.00070978
Iterate [51]: time: 12.8343, d_loss: 0.01428340, g_loss: 13.52036285, flux: 0.00140004
Iterate [52]: time: 13.0163, d_loss: 0.28271490, g_loss: 11.54446602, flux: 0.00204558
Iterate [53]: time: 13.1967, d_loss: 0.33762118, g_loss: 13.25137520, flux: 0.00307917
Iterate [54]: time: 13.3781, d_loss: 1.64232993, g_loss: 11.65452003, flux: 0.00304524
Iterate [55]: time: 13.5586, d_loss: 0.30064353, g_loss: 11.02418900, flux: 0.00394893
Iterate [56]: time: 13.7391, d_loss: 0.10675688, g_loss: 14.58727646, flux: 0.00392400
